Bx,By,Bz
2.200524763218233915e+01,-4.556227075083628897e+00,-2.540375801960144386e+01
2.200411606086831640e+01,-4.555485064400043527e+00,-2.540299487059279926e+01
2.198066631811684246e+01,-4.577335416645392563e+00,-2.543623767915468648e+01
2.195725546291416563e+01,-4.599192812609158132e+00,-2.546947278709849982e+01
2.193388347608957289e+01,-4.621056991543992076e+00,-2.550270051585355091e+01
2.191055033353416803e+01,-4.642927690254122552e+00,-2.553592118314736226e+01
2.188725601299304557e+01,-4.664804647545707006e+00,-2.556913510767082442e+01
2.186400048955316677e+01,-4.686687601272518933e+00,-2.560234260595604994e+01
2.184078373678329754e+01,-4.708576289083830524e+00,-2.563554399314031329e+01
2.181760572674452803e+01,-4.730470448432257058e+00,-2.566873958295487412e+01
2.179446643000008166e+01,-4.752369816581067496e+00,-2.570192968771319997e+01
2.177136581562558959e+01,-4.774274130611882327e+00,-2.573511461829968283e+01
2.174830385234765728e+01,-4.796183128168209464e+00,-2.576829468499550302e+01
2.172528050404057254e+01,-4.818096544518365221e+00,-2.580147019412570941e+01
2.170229573650743049e+01,-4.840014116981387282e+00,-2.583464145305117654e+01
2.167934951297664981e+01,-4.861935581988354294e+00,-2.586780876682885832e+01
2.165644179524102952e+01,-4.883860675826779740e+00,-2.590097243903137425e+01
2.163357254366807325e+01,-4.905789134648687266e+00,-2.593413277173713283e+01
2.161074171721073611e+01,-4.927720694478391117e+00,-2.596729006551965924e+01
2.158794927454382773e+01,-4.949655091951688846e+00,-2.600044462032152026e+01
2.156519516957166260e+01,-4.971592061396784779e+00,-2.603359673191354773e+01
2.154247935819435611e+01,-4.993531339233350685e+00,-2.606674669717017778e+01
2.151980179381482117e+01,-5.015472661052137404e+00,-2.609989481054250149e+01
2.149716242847589953e+01,-5.037415762355031745e+00,-2.613304136492595475e+01
2.147456121287109809e+01,-5.059360378563005689e+00,-2.616618665165066204e+01
2.145199809635640520e+01,-5.081306245023809787e+00,-2.619933096047157761e+01
2.142947302808348908e+01,-5.103253097746177858e+00,-2.623247458049003455e+01
2.140698595252072067e+01,-5.125200670501741662e+00,-2.626561779642676342e+01
2.138453681620020319e+01,-5.147148699193552446e+00,-2.629876089417977525e+01
2.136212556323874168e+01,-5.169096918956465281e+00,-2.633190415711084142e+01
2.133975213647125813e+01,-5.191045064891629757e+00,-2.636504786696020020e+01
2.131741647746309098e+01,-5.212992872074940998e+00,-2.639819230383839610e+01
2.129511852652125015e+01,-5.234940075564743722e+00,-2.643133774621707133e+01
2.127285822270605564e+01,-5.256886410409859600e+00,-2.646448447092060974e+01
2.125063550496057374e+01,-5.278831612377609339e+00,-2.649763275410236929e+01
2.122845030765050822e+01,-5.300775415081496078e+00,-2.653078286730417901e+01
2.120630256728517082e+01,-5.322717554310628429e+00,-2.656393508333603037e+01
2.118419221805535813e+01,-5.344657765156221707e+00,-2.659708967234973542e+01
2.116211919296403110e+01,-5.366595782740481546e+00,-2.663024690280924389e+01
2.114008342383814210e+01,-5.388531342224571752e+00,-2.666340704148272422e+01
2.111808484134065722e+01,-5.410464178816591918e+00,-2.669657035343470497e+01
2.109612337609590327e+01,-5.432394028493043869e+00,-2.672973710304973594e+01
2.107419895424797573e+01,-5.454320625152901947e+00,-2.676290754990767695e+01
2.105231150415426455e+01,-5.476243704907954424e+00,-2.679608195494215295e+01
2.103046095194273590e+01,-5.498163003235537971e+00,-2.682926057633014238e+01
2.100864722263800388e+01,-5.520078255700198611e+00,-2.686244367050845838e+01
2.098687024017388936e+01,-5.541989197962210234e+00,-2.689563149216732896e+01
2.096512992740508707e+01,-5.563895565785849762e+00,-2.692882429424406254e+01
2.094342620722745352e+01,-5.585797095753519237e+00,-2.696202232899322482e+01
2.092175899815846662e+01,-5.607693522448999879e+00,-2.699522584367969813e+01
2.090012822099885526e+01,-5.629584582704692863e+00,-2.702843508701360165e+01
2.087853379441135004e+01,-5.651470012782502828e+00,-2.706165030485632528e+01
2.085697563604183813e+01,-5.673349549089148347e+00,-2.709487174128501508e+01
2.083545366253201792e+01,-5.695222928184358047e+00,-2.712809963858663664e+01
2.081396778953151738e+01,-5.717089886789179509e+00,-2.716133423725257146e+01
2.079251793171106399e+01,-5.738950161793875182e+00,-2.719457577597264830e+01
2.077110400387574174e+01,-5.760803490963178675e+00,-2.722782449275860728e+01
2.074972591657295951e+01,-5.782649610155736752e+00,-2.726108062043053692e+01
2.072838358271311776e+01,-5.804488257517623317e+00,-2.729434439336529294e+01
2.070707691317611676e+01,-5.826319170699156835e+00,-2.732761604299551905e+01
2.068580581792588191e+01,-5.848142087561222446e+00,-2.736089579892736623e+01
2.066457020602321037e+01,-5.869956746183460972e+00,-2.739418388893566814e+01
2.064336998563839387e+01,-5.891762884872399297e+00,-2.742748053895927640e+01
2.062220506515834373e+01,-5.913560242858102001e+00,-2.746078597427066370e+01
2.060107534882153857e+01,-5.935348557547735382e+00,-2.749410041478312650e+01
2.057998074329909599e+01,-5.957127568667554662e+00,-2.752742408206972868e+01
2.055892115332800785e+01,-5.978897015513800817e+00,-2.756075719468352503e+01
2.053789648281876623e+01,-6.000656637650951808e+00,-2.759409996932173570e+01
2.051690663486840904e+01,-6.022406174919863631e+00,-2.762745262082195907e+01
2.049595151177343055e+01,-6.044145367445937111e+00,-2.766081536215886416e+01
2.047503101504250012e+01,-6.065873955647265170e+00,-2.769418840444044960e+01
2.045414504649545151e+01,-6.087591680920730219e+00,-2.772757195812990716e+01
2.043329350393229404e+01,-6.109298282937336566e+00,-2.776096622814990411e+01
2.041247628766335254e+01,-6.130993503721520632e+00,-2.779437142120880111e+01
2.039169329617638127e+01,-6.152677084944190078e+00,-2.782778774091863738e+01
2.037094442723634558e+01,-6.174348768609547733e+00,-2.786121538901003092e+01
2.035022957789856335e+01,-6.196008297063508863e+00,-2.789465456533025645e+01
2.032954864452127808e+01,-6.217655413002083797e+00,-2.792810546784116355e+01
2.030890152385621761e+01,-6.239289860147407829e+00,-2.796156829388554499e+01
2.028828810875027600e+01,-6.260911380582801833e+00,-2.799504323511744275e+01
2.026770829462741830e+01,-6.282519718772654471e+00,-2.802853048509255629e+01
2.024716197518789684e+01,-6.304114618894528732e+00,-2.806203023421106479e+01
2.022664904350002502e+01,-6.325695825516582715e+00,-2.809554267097846392e+01
2.020616939201321927e+01,-6.347263083605687584e+00,-2.812906798200401326e+01
2.018572291257074269e+01,-6.368816138535696503e+00,-2.816260635200001516e+01
2.016530949749193269e+01,-6.390354736752509091e+00,-2.819615796509167183e+01
2.014492903530853951e+01,-6.411878623151210377e+00,-2.822972299957563180e+01
2.012458141719404026e+01,-6.433387545033237842e+00,-2.826330163577154764e+01
2.010426653269786001e+01,-6.454881249480406424e+00,-2.829689405079310305e+01
2.008398427082808269e+01,-6.476359484021619650e+00,-2.833050041985272571e+01
2.006373452006463509e+01,-6.497821996640989362e+00,-2.836412091626147003e+01
2.004351716837224018e+01,-6.519268535785722740e+00,-2.839775571142870803e+01
2.002333210321348389e+01,-6.540698850374174533e+00,-2.843140497486215779e+01
2.000317921261963150e+01,-6.562112690448197228e+00,-2.846506887552803988e+01
1.998305838096953480e+01,-6.583509804601355597e+00,-2.849874757641637402e+01
1.996296949535602039e+01,-6.604889943859024726e+00,-2.853244124268502802e+01
1.994291244136163144e+01,-6.626252859102944370e+00,-2.856615003623682369e+01
1.992288710413110309e+01,-6.647598301725814451e+00,-2.859987411707525951e+01
1.990289336838405987e+01,-6.668926023639015987e+00,-2.863361364330526015e+01
1.988293111842764560e+01,-6.690235777280348906e+00,-2.866736877113388005e+01
1.986300023921805291e+01,-6.711527316254858988e+00,-2.870113965627407993e+01
1.984310061217854582e+01,-6.732800392809330070e+00,-2.873492644834256637e+01
1.982323212150613401e+01,-6.754054761642354521e+00,-2.876872929925700717e+01
1.980339464998705168e+01,-6.775290177375522305e+00,-2.880254835764642607e+01
1.978358808005894787e+01,-6.796506395195898165e+00,-2.883638377024955801e+01
1.976381229382386095e+01,-6.817703170863334883e+00,-2.887023568191607836e+01
