,X,Y,Z
0,0,0,0
1,22.88,-3.47,34.89
2,22.88,-3.41,34.87
3,22.88,-3.41,34.87
4,22.88,-3.41,34.87
5,22.88,-3.44,34.89
6,22.88,-3.41,34.89
7,22.89,-3.47,34.84
8,22.89,-3.47,34.84
9,22.89,-3.47,34.87
10,22.88,-3.47,34.89
11,22.91,-3.44,34.89
12,22.89,-3.47,34.87
13,22.86,-3.44,34.84
14,22.86,-3.44,34.89
15,22.88,-3.47,34.89
16,22.88,-3.44,34.89
17,22.86,-3.44,34.89
18,22.86,-3.47,34.84
19,22.88,-3.44,34.87
20,22.88,-3.44,34.91
21,22.86,-3.44,34.87
22,22.89,-3.47,34.87
23,22.86,-3.47,34.84
24,22.88,-3.41,34.87
25,22.88,-3.41,34.89
26,22.91,-3.44,34.89
27,22.88,-3.44,34.87
28,22.88,-3.44,34.87
29,22.88,-3.44,34.89
30,22.88,-3.44,34.89
31,22.88,-3.44,34.91
32,22.88,-3.41,34.87
33,22.88,-3.41,34.87
34,22.88,-3.41,34.89
35,22.88,-3.44,34.89
36,22.88,-3.47,34.89
37,22.89,-3.47,34.87
38,22.86,-3.44,34.84
39,23.1,-3.41,31.93
40,21.61,-3.32,31.26
41,21.53,-3.29,31.19
42,21.5,-3.29,31.19
43,21.56,-3.32,31.19
44,21.55,-3.32,31.24
45,21.53,-3.32,31.24
46,21.53,-3.29,31.19
47,21.53,-3.29,31.19
48,21.48,-3.32,31.2
49,21.53,-3.32,31.24
50,21.55,-3.29,31.26
51,21.53,-3.32,31.22
52,21.51,-3.35,31.17
53,21.51,-3.35,31.17
54,21.5,-3.32,31.22
55,21.5,-3.32,31.22
56,21.53,-3.32,31.22
57,21.53,-3.35,31.17
58,21.51,-3.32,31.17
59,21.53,-3.32,31.22
60,21.53,-3.32,31.22
61,21.5,-3.29,31.19
62,21.53,-3.29,31.17
63,21.56,-3.29,31.19
64,21.53,-3.35,31.19
65,21.5,-3.35,31.22
66,21.53,-3.35,31.14
